City,Price,Area,Location,No. of Bedrooms
2,3500000,645,67,1
2,2900000,220,37,1
4,5000000,2400,3,4
5,21800000,1286,71,2
2,12600000,623,22,2
2,8359999,530,66,1
5,4508000,1753,145,3
5,9736000,818,145,2
5,6681999,956,76,2
6,7895999,1880,56,3
5,9226000,1390,71,3
2,25000000,850,2,2
2,4095000,660,95,1
2,10800000,950,17,2
2,3600000,412,95,1
4,2574000,858,31,2
6,6800000,1257,49,2
4,10000000,1387,35,3
4,5600000,1709,1,3
1,22500000,1900,52,4
4,2300000,5000,1,4
4,5300000,876,19,2
4,5600000,997,6,2
4,22500000,1105,11,2
1,17500000,1442,44,3
1,3200000,700,56,2
5,10000000,1050,5,3
6,6931000,1555,50,3
1,23000000,2300,51,4
5,15000000,1750,32,3
4,5522000,1080,7,2
4,3474000,1070,19,3
4,2781000,1200,7,2
3,35300000,1249,2,2
5,6998999,1125,96,3
2,20500000,675,69,1
5,61100000,720,24,2
4,5500000,1045,19,3
2,12700000,1478,8,3
1,7000000,750,47,3
4,6500000,870,104,3
5,3399000,1850,11,3
5,2311000,882,23,2
2,3800000,555,66,1
4,2500000,1377,21,3
4,5300000,1415,5,3
4,12300000,2253,86,3
6,10400000,2612,20,3
5,5221000,952,95,2
5,3285000,876,47,2
1,4000000,516,46,1
4,5000000,1500,3,5
3,11000000,2461,2,4
5,17600000,983,16,2
4,7945999,2773,157,4
4,4200000,800,80,2
2,25000000,1155,69,2
4,9500000,1456,6,3
4,5600000,950,93,2
2,5100000,550,69,1
4,2000000,1359,93,3
6,2200000,1000,22,2
6,3500000,800,26,2
4,45000000,1562,31,3
2,4500000,547,22,2
4,4100000,895,23,3
4,24000000,1500,6,2
5,12600000,2712,108,4
1,6500000,400,55,2
4,4200000,1682,157,3
5,5542000,1337,136,3
4,7500000,600,94,2
4,11900000,1375,65,2
2,4800000,670,69,1
4,2200000,1585,136,2
2,9250000,770,80,2
4,2500000,855,6,2
2,12000000,915,7,2
5,17000000,1034,146,2
5,6100000,804,23,2
5,10600000,4690,117,4
5,4784000,769,83,2
4,29100000,650,80,2
4,3286000,840,11,2
4,5555000,1415,6,3
4,21000000,983,8,2
3,6437000,1290,27,2
4,6000000,1114,23,3
6,27500000,2500,2,3
4,4699000,1180,23,3
5,6050000,1100,117,2
4,2300000,1236,92,1
3,8000000,1143,14,3
2,9000000,1450,69,3
2,5300000,1100,18,2
2,3500000,860,48,2
4,4000000,1580,111,3
5,9119000,1358,37,3
4,47000000,1460,13,3
4,2000000,765,22,2
2,3872999,737,95,3
5,4984000,920,144,2
2,3500000,532,95,2
4,2800000,920,31,2
4,3906000,895,35,2
3,9400000,1204,14,2
4,4140000,1450,13,3
4,6769000,1325,8,3
6,6700000,1402,56,1
2,17000000,2000,2,4
4,10200000,1043,11,3
2,2440000,500,81,1
