City,Area,Location,No. of Bedrooms,Price
3,1675,27,3,8358000
3,1670,21,3,6845000
3,1362,20,2,7700000
3,1311,11,3,7209999
3,2470,93,4,23700000
3,1150,12,2,7600000
3,1110,25,3,3607000
3,1645,93,3,16500000
3,1345,13,3,4840000
3,1866,2,3,25800000
3,3500,18,3,51000000
3,1675,27,3,7520000
3,1350,27,2,6736000
3,1650,27,3,8233000
3,1355,27,3,6761000
3,1325,27,2,6611000
3,1260,27,2,6287000
3,1290,27,2,6437000
3,1225,27,2,6112000
3,1300,27,2,6487000
3,1152,21,2,4722000
3,1119,21,2,4586000
3,1118,21,2,4582000
3,1656,21,3,6787000
3,1273,20,2,6900000
3,1705,20,3,9700000
3,1304,20,2,7300000
3,1275,11,3,7012000
3,1490,11,3,8195000
3,1795,93,2,15000000
3,1000,93,1,8900000
3,1740,93,2,14400000
3,1490,93,2,12700000
3,1320,93,3,12500000
3,2330,93,4,20099999
3,2165,93,3,18800000
3,1645,93,2,13700000
3,1985,93,3,18900000
3,1500,93,3,13500000
3,1985,93,3,18900000
3,1795,93,2,15400000
3,1410,93,2,12300000
3,1345,93,1,11800000
3,1140,21,3,3990000
3,1149,21,3,4021000
3,1168,21,3,4088000
3,1333,13,3,3999000
3,1174,13,3,3522000
3,958,13,2,2874000
3,1193,13,3,3579000
3,1124,13,2,3372000
3,974,13,2,2922000
3,948,13,2,2844000
3,967,13,2,2901000
3,940,13,2,2820000
3,1486,13,3,4458000
3,1161,13,3,3483000
3,1233,13,3,3699000
3,1302,13,3,3906000
3,963,13,2,2889000
3,1143,13,2,3429000
3,1388,13,3,4164000
3,1128,13,2,3384000
3,1195,11,2,7200000
3,950,25,2,3087000
3,1225,25,3,3981000
3,1025,25,2,3331000
3,645,25,1,2096000
3,2790,93,4,28000000
3,1320,93,2,13000000
3,1440,15,3,7028000
3,1245,15,2,6148000
3,1510,15,3,7344000
3,1305,15,2,6419000
3,1120,15,2,5584000
3,1295,15,3,6374000
3,1225,15,2,6058000
3,1430,15,3,6983000
3,1300,15,2,6396000
3,1470,15,3,7163000
3,1275,15,2,6283000
3,1410,15,3,6893000
3,1140,15,2,5674000
3,1415,15,3,6915000
3,1455,15,3,7095999
3,1520,15,3,7389000
3,1260,15,2,6216000
3,1525,15,3,7412000
3,1125,15,2,5606000
3,1255,15,2,6193000
3,1135,15,2,5651000
3,1315,13,3,4732000
3,1320,13,2,4750000
3,1250,13,2,4498000
3,1290,13,3,4870000
3,1290,13,2,4642000
3,1365,13,3,4912000
3,1500,13,3,5398000
3,1200,13,2,4318000
3,1839,2,3,25500000
3,2461,2,4,34000000
3,1249,2,2,17500000
3,2503,2,4,34500000
3,1385,2,2,19500000
3,4600,18,4,66900000
3,8331,18,5,170600000
3,8902,18,5,182300000
3,5112,18,5,74300000
3,6500,18,4,60100000
3,3900,18,4,36000000
3,3895,18,4,36000000
3,5654,18,4,52200000
3,5500,18,4,50800000
3,4400,18,4,64000000
3,4200,18,3,61100000
3,9700,18,5,198600000
3,3670,18,3,53400000
3,9900,18,5,202700000
3,8300,18,5,170000000
3,7700,18,4,157700000
3,3897,18,3,56700000
3,1800,5,3,18000000
3,2187,11,4,27400000
3,1196,11,2,15000000
3,1885,20,3,9000000
3,1440,20,3,6900000
3,1939,18,3,13600000
3,1628,18,3,11399999
3,1687,18,3,11800000
3,1712,18,3,12000000
3,1812,18,3,12700000
3,1911,18,3,13400000
3,3870,18,4,38900000
3,2540,11,4,31800000
3,1839,2,3,25400000
3,1385,2,2,19300000
3,4237,20,4,29600000
3,2795,20,3,19500000
3,1273,20,2,7500000
3,2461,2,4,33900000
3,1839,2,3,25400000
3,1249,2,2,17400000
3,3122,20,4,21800000
3,1705,20,3,9900000
3,3729,18,4,37000000
3,2927,18,3,31000000
3,1561,14,3,10500000
3,1450,14,3,9800000
3,1180,14,2,8100000
3,1180,14,2,8100000
3,1800,18,3,15700000
3,1682,18,3,14100000
3,1800,18,3,14500000
3,1309,18,2,10200000
3,1795,93,2,15000000
3,1490,93,3,12700000
3,1599,20,3,8673000
3,1365,20,3,7456000
3,1217,20,2,6687000
3,1171,20,2,6448000
3,1047,12,2,8400000
3,1397,12,3,11100000
3,1709,15,3,9050000
3,1330,15,2,7000000
3,1709,15,3,9050000
3,1299,15,2,6800000
3,1471,14,2,5972000
3,1545,10,3,13899999
3,2240,10,3,20099999
3,1750,10,3,15700000
3,1730,10,3,15500000
3,1750,10,3,15700000
3,4450,93,4,44900000
3,4310,93,4,43400000
3,4000,93,4,40300000
3,4053,24,4,68700000
3,3613,6,4,23500000
3,1545,20,3,9900000
3,2678,24,3,46100000
3,1900,93,3,16000000
3,2000,18,3,16500000
3,2700,18,2,28000000
3,1350,27,2,6061000
3,1650,27,3,7408000
3,1355,27,3,6083000
3,1325,27,2,5949000
3,1260,27,2,5657000
3,1225,27,2,5500000
3,1300,27,2,5837000
3,1560,20,3,10100000
3,3628,6,4,23600000
3,1635,20,3,10600000
3,3596,11,4,30500000
3,4239,11,5,36000000
3,2666,11,3,22599999
3,1545,10,3,14700000
3,3273,11,3,27799999
3,2697,11,3,22900000
3,5300,11,5,45000000
3,3633,11,4,30800000
3,5384,11,5,45700000
3,4289,11,5,36400000
3,1635,20,3,10600000
3,1475,20,3,9200000
3,1620,20,3,10300000
3,1047,12,2,7800000
3,1047,12,2,9990000
3,1397,12,3,12400000
3,1724,12,3,20000000
3,3613,6,4,9200000
3,1475,20,3,6600000
3,1204,12,3,7845999
3,721,12,2,10300000
3,956,12,3,11900000
3,1154,15,2,3217000
3,1154,15,2,5500000
3,1140,20,2,2800000
3,3800,18,4,30299999
3,3335,18,4,7600000
3,2415,24,3,32799999
3,2436,24,3,32200000
3,2390,24,3,48600000
3,3600,24,4,26400000
3,1760,24,2,49100000
3,3643,24,4,34800000
3,2578,24,3,33200000
3,2461,24,3,35100000
3,2601,24,3,13400000
3,2557,24,3,32200000
3,2391,24,3,32200000
3,2386,24,3,32500000
3,2409,24,3,47600000
3,3526,24,4,31900000
3,2367,24,3,25700000
3,1718,24,2,46300000
3,3436,24,4,47600000
3,3533,24,4,16299999
3,1362,20,2,7145999
3,1273,20,2,9899000
3,1705,20,3,7320000
3,1304,20,2,8954000
3,1505,20,3,6695999
3,1440,20,3,8737000
3,1879,20,3,7816000
3,1681,20,3,6742000
3,1450,20,3,8760000
3,1884,20,3,8002000
3,1721,20,3,4000000
3,850,21,2,12000000
3,1500,17,3,5900000
3,2088,14,3,16299999
3,2574,14,3,8629000
3,1359,14,2,13000000
3,2061,14,3,13799999
3,2187,14,3,5556000
3,1372,20,3,4507000
3,1113,20,2,5313000
3,1312,20,3,5593000
3,1381,20,3,4264000
3,1053,20,2,5872000
3,1450,20,3,4511000
3,1114,20,2,4463000
3,1102,20,2,5690000
3,1405,20,3,4637000
3,1145,20,2,4353000
3,1075,20,2,4410000
3,1089,20,2,5475000
3,1352,20,3,4649000
3,1148,20,2,4382000
3,1082,20,2,4305000
3,1063,20,2,5621000
3,1388,20,3,4301000
3,1062,20,2,5641000
3,1393,20,3,4280000
3,1057,20,2,4855000
3,1199,20,2,11200000
3,1600,2,2,25000000
3,1900,2,2,9324000
3,1250,14,2,7326000
3,2661,20,3,9500000
3,1892,20,3,5200000
3,1251,14,2,14000000
3,1422,14,3,6000000
3,1422,14,3,7800000
3,1545,20,3,9505000
3,2686,20,3,13899999
3,2796,20,3,14500000
3,2798,20,3,13700000
3,2671,20,3,5305000
3,1304,20,2,8900000
3,1419,14,3,6011000
3,1419,14,3,7000000
3,1137,14,2,9405000
3,1705,20,3,7134999
3,1250,14,2,5200000
3,1250,14,2,3888000
3,2686,20,3,16700000
3,2796,20,3,16700000
3,2798,20,3,20700000
3,3450,20,4,15900000
3,2661,20,3,11299999
3,1892,20,3,16000000
3,2671,20,3,9899000
3,1705,20,3,9899000
3,1705,20,3,8000000
3,3628,6,4,8500000
3,2100,4,4,8295999
3,3949,6,4,9881000
3,1545,20,3,6310000
3,1085,6,2,8000000
3,1660,11,3,7900000
3,1125,2,2,7122000
3,3450,20,4,9200000
3,1300,12,2,7015000
3,1600,6,3,5179000
3,1085,6,2,7780000
3,1135,14,2,5703000
3,1208,14,2,9400000
3,1777,6,3,5401000
3,1418,14,3,6534999
3,1335,1,2,7200000
3,1006,14,2,5000000
3,1200,14,2,9000000
3,1400,20,3,7150000
3,925,5,2,6400000
3,1285,5,3,7175000
3,940,5,2,9900000
3,1530,20,3,21500000
3,1266,14,2,6017000
3,1417,14,2,4900000
3,1204,14,2,9400000
3,1005,14,2,3704999
3,1670,18,3,12700000
3,1682,18,3,6220000
3,1040,20,2,8100000
3,1717,23,3,26000000
