City,Area,Location,No. of Bedrooms,Price
2,3700,436,3,2300000
4,1150,293,1,3200000
6,3430,198,4,35800000
3,1467,7,3,9000000
4,1049,341,2,8000000
4,1700,337,3,2464000
4,895,297,3,5300000
6,4146,202,5,33100000
3,1100,28,2,7840000
6,1600,229,3,7500000
2,800,464,2,9600000
4,1455,292,3,12000000
4,826,309,2,3141000
3,2927,9,3,31000000
2,645,431,1,4300000
1,2450,172,3,36500000
2,615,425,2,10000000
6,1010,227,2,4542000
1,2590,168,3,5000000
4,1277,295,2,8231000
2,900,464,2,30500000
5,750,39,2,3635000
4,844,286,3,3570000
2,610,464,2,4380000
4,1110,309,2,5489000
4,885,288,2,3550000
4,2726,304,4,8700000
6,1650,212,3,5500000
5,930,46,2,5285000
6,2350,198,3,19500000
1,1800,136,3,15000000
2,750,422,1,14000000
5,840,40,2,4115000
4,1535,290,3,5349000
4,720,297,2,2822000
5,1199,35,3,5474000
2,450,432,1,2425000
2,830,425,2,3087000
4,800,311,2,12900000
4,992,298,2,5000000
5,1212,52,3,10700000
1,1220,146,2,2450000
6,1600,228,3,7500000
4,3410,296,4,5900000
2,1050,429,2,32900000
2,2065,486,3,8200000
5,1639,79,3,40599999
4,2235,290,3,2334000
2,600,447,2,4500000
4,860,325,2,47000000
4,3138,337,4,9639000
2,3000,458,4,6998999
6,4799,202,4,40700000
5,1922,93,3,32500000
1,520,134,1,4000000
4,1145,299,3,4000000
1,1125,182,3,20500000
2,650,431,1,7150000
5,1358,38,3,8290000
5,1546,63,4,7751000
5,1350,69,3,17500000
4,1173,299,3,6274000
2,860,496,2,10500000
2,585,440,1,2700000
4,1164,293,3,7295999
4,860,286,3,2973000
4,1330,300,3,5500000
4,920,287,2,6938000
4,1050,295,3,2324000
4,1236,295,2,10500000
6,4305,204,4,33000000
3,1419,12,3,6011000
4,1578,288,3,2695000
2,715,484,1,7800000
2,550,471,1,11500000
2,750,468,1,8000000
4,2060,286,4,6094000
4,1400,305,3,3000000
4,920,297,2,2700000
2,980,427,2,2520000
4,840,287,2,2147000
4,1760,293,3,2400000
4,2620,290,4,30000000
5,811,87,2,7100000
4,1322,317,3,5455000
6,1340,205,2,5628000
5,1554,31,3,8158000
6,1500,204,3,8000000
4,950,288,1,20000000
6,1076,213,2,5500000
5,1733,44,3,21600000
4,1017,292,2,4743000
4,1180,295,2,3500000
2,1127,431,2,9200000
6,1242,210,3,8600000
2,400,475,2,8000000
4,1100,297,3,5385000
6,1400,229,3,8500000
2,2550,475,4,99000000
2,1200,475,2,5100000
5,1200,101,2,11200000
5,969,87,2,4500000
4,2320,288,3,5268000
1,2800,135,4,8500000
4,1920,293,3,6500000
2,665,441,1,3700000
5,956,67,2,6681999
1,2400,135,4,20000000
5,624,110,1,4762000
4,1200,297,3,6110000
5,1606,31,3,8431000
4,1126,293,2,2300000
2,725,443,1,11500000
4,1178,359,3,6988000
3,1075,3,3,15100000
3,1020,1,2,7777000
5,1380,37,3,7173999
4,1920,293,3,6200000
4,840,288,2,3949000
4,822,286,2,3001000
5,1838,38,3,10600000
2,1050,475,2,17500000
5,2958,107,4,57500000
4,1070,292,3,2787000
3,2661,2,3,9500000
4,2500,290,3,7200000
2,690,459,1,3500000
5,900,50,2,6948999
4,1256,291,3,4059000
4,820,329,2,5800000
2,1050,431,2,3500000
4,1250,286,3,3500000
4,950,293,2,13500000
5,1004,38,2,5778000
4,1250,316,3,8881000
3,1060,22,2,4054000
2,768,464,1,3800000
5,555,76,1,7900000
4,1463,293,3,5767000
4,1028,309,3,4275000
5,653,39,1,3200000
5,804,41,2,7100000
4,1105,288,2,4800000
5,945,50,2,4299000
6,1000,197,2,3870000
2,920,464,2,45199999
5,790,63,2,3200000
5,850,39,2,4930000
4,934,286,2,7800000
5,1037,39,2,4873000
5,1361,49,3,6117000
1,2520,165,6,450000000
5,1278,110,3,4556000
5,1045,39,2,7276000
2,1500,428,3,5500000
2,1050,139,3,29000000
2,1046,468,3,46200000
4,1140,288,2,8265000
5,1551,38,3,7309999
4,1064,287,3,11200000
5,871,45,2,3743000
4,1300,286,3,2800000
4,1455,290,3,6669000
3,1812,9,3,12700000
5,809,87,2,6616000
5,1254,87,2,7900000
4,888,309,3,2965000
4,1103,287,3,3001000
4,800,297,2,2800000
5,1123,88,3,24500000
5,1829,31,3,9845000
6,1350,212,3,4500000
4,750,313,2,7000000
6,1435,201,3,7605000
4,1058,309,3,9200000
5,1565,36,3,24200000
4,1360,291,3,3964000
4,1020,297,2,7500000
2,1127,464,2,16000000
6,2800,202,3,19300000
1,1800,135,3,14500000
2,620,474,1,70000000
5,998,35,2,4490000
5,2781,75,4,2975000
6,1000,240,1,6200000
4,1149,384,3,4700000
1,1225,136,3,5200000
2,1780,429,3,12500000
6,3025,207,4,30200000
4,908,290,2,10300000
1,5500,146,5,204400000
6,1346,198,2,11100000
5,900,50,2,6600000
2,1300,464,3,4000000
2,1127,431,2,8500000
5,845,66,2,4768000
4,890,311,3,7000000
5,830,87,1,11000000
4,900,305,2,4600000
4,688,286,2,3500000
4,1480,288,3,3700000
5,810,39,2,2900000
2,810,475,2,26700000
4,1697,288,3,8500000
4,1323,297,3,6200000
6,1150,217,2,3200000
3,1025,6,2,4664000
6,950,217,2,3000000
4,1350,286,3,3070000
4,1137,325,3,6500000
3,1025,6,2,3113000
4,1160,290,3,6146000
6,1050,197,2,3800000
1,2870,136,4,11000000
5,970,39,2,5439000
2,525,429,1,16000000
4,1100,315,2,6000000
5,625,46,1,4999000
2,505,455,1,6800000
5,750,87,2,4425000
5,983,53,2,22000000
6,845,235,2,5300000
2,600,474,1,3000000
5,888,94,2,4880000
2,1150,441,2,15500000
3,1604,3,3,9523000
5,1269,66,3,5015000
3,1380,25,3,8400000
2,450,426,1,4800000
4,1268,288,3,7651000
4,1009,310,3,2100000
5,785,47,2,6203000
1,1250,134,2,13500000
2,1150,431,2,4500000
6,1360,209,2,4900000
2,900,446,2,37000000
4,1500,288,3,7500000
4,885,286,2,3653000
